,palavra,rec,pont
8147,exéquias,5,0.1327457775471692
4833,sonho,5,0.1327457775471692
6698,vinde,5,0.129748292247717
10741,cótica,5,0.1276887955453723
11293,compadre,11,0.12599156659627334
5520,emeline,4,0.11095716026701316
10890,girassol,4,0.10654826648156893
11623,13165,1,0.10055492649198068
11613,extraída,1,0.10055492649198068
11614,alegra,1,0.10055492649198068
11615,começado,1,0.10055492649198068
11616,escritor,1,0.10055492649198068
11617,adotar-me,1,0.10055492649198068
11618,digitalização,1,0.10055492649198068
11619,vitório,1,0.10055492649198068
11622,264,1,0.10055492649198068
11620,revisão,1,0.10055492649198068
11621,villie,1,0.10055492649198068
7806,pedro,8,0.09800925809695873
11271,comadre,19,0.09541775882564886
7097,boggs,18,0.08861488946466595
8311,mar,7,0.08852509009643823
2194,governo,12,0.08515103507126055
3893,goshen,7,0.08391171292719807
8851,cachumba,7,0.08230395239733018
10214,fosso,3,0.08153102147998434
7335,harkness,3,0.0801766855750012
9852,nichols,3,0.0799111998611767
4979,denunciá-lo,3,0.0799111998611767
8892,apthorps,3,0.07964746652830153
2243,votar,3,0.0791251880592635
6661,barracas,3,0.07784897534863021
3292,balum,3,0.07784897534863021
7799,blodgett,3,0.07784897534863021
7635,ordenava,3,0.07710281903538455
7052,porca,3,0.07661327732722338
5377,papagaios,3,0.07661327732722338
9582,foster,3,0.07637083024707393
2631,lagoa,3,0.07471573485472248
4593,salomão,10,0.07342406128824822
4634,nota,6,0.07241816421347533
1328,gênios,6,0.07083819182445523
7628,henrique,6,0.06759052122372225
906,resgatados,5,0.06086765576862385
10872,berimbau,5,0.05910813456473185
145,moisés,5,0.05892775174196646
10948,serpentes,5,0.05882235792702968
10406,picareta,5,0.05870828929723667
8296,costuma,2,0.05829271100984387
4581,reis,19,0.05828321220582323
4691,entendam,2,0.05745995799541753
6311,nascimento,5,0.057427125973030874
8142,orgia,5,0.05737928971419358
3779,agulha,5,0.0571930877622391
10006,prato,8,0.056998237837345735
10723,brasão,5,0.05689449965681664
6638,missa,5,0.05669829534754099
869,roubos,2,0.056650662812383484
7471,diretor,2,0.05645188855690143
8675,mestres,2,0.056254504331178
4263,amem,8,0.05599046942739245
8838,pedirei,2,0.055863848051100375
9978,emplumados,2,0.055863848051100375
11244,meto,2,0.05572911460705089
9890,ganas,2,0.055670547538812835
10555,camisas,2,0.055670547538812835
10567,matilde,2,0.055670547538812835
9885,beijá-la,2,0.055670547538812835
6595,romeu,8,0.05555604679378945
5517,rimas,2,0.05547858013350658
5509,apontamentos,2,0.05547858013350658
5526,coveiro,2,0.05547858013350658
4812,bebendo,2,0.05547858013350658
3911,dianteiras,2,0.05528793209181068
3912,traseiras,2,0.05528793209181068
4635,reclama,2,0.05528793209181068
3531,cascavel,8,0.05525825630814173
9742,desencontro,2,0.05509858985861955
7266,fugiam,2,0.054910540063880235
7268,espiavam,2,0.054910540063880235
8693,prejuízo,2,0.054910540063880235
5049,parker,2,0.05472376951944526
4595,ganha,2,0.05472376951944526
7560,ludibriados,2,0.05453826521598952
10022,trocaria,2,0.05435401431998956
12,twain,2,0.05435401431998956
11,mark,2,0.05435401431998956
5762,bud,2,0.054171004170764
2323,tire-a,2,0.054171004170764
2283,pontapé,2,0.054171004170764
1251,carregadas,2,0.054171004170764
1254,escolta,2,0.054171004170764
7111,abram,2,0.053989222277573516
8231,náuseas,2,0.053989222277573516
10990,faz-se,2,0.053989222277573516
6354,acedemos,2,0.05380865631677896
1686,brancura,2,0.05380865631677896
10397,imoral,2,0.05380865631677896
1345,anel,2,0.05380865631677896
1655,rica,2,0.05380865631677896
3846,novelo,2,0.05380865631677896
9313,dança,2,0.053629294129056364
9312,abriram,2,0.053629294129056364
5671,caçadas,2,0.053629294129056364
9662,agarrados,2,0.053629294129056364
10861,prisões,2,0.053629294129056364
9761,cilindro,2,0.053629294129056364
9304,musgo,2,0.053629294129056364
9682,encalhou,2,0.05345112371666747
7323,valentes,2,0.05345112371666747
2993,reembarquei,2,0.05345112371666747
4654,coitadinho,2,0.05345112371666747
7331,mascarados,2,0.05345112371666747
6785,anúncios,2,0.05327413324078446
9565,vendeu-o,2,0.05327413324078446
5949,armazém,2,0.05327413324078446
