,palavra,rec,pont
8865,myrtaceae,6,0.20621619554659498
8746,textur,5,0.20348032562226206
4780,ducto,9,0.1791220968616409
8742,ní,4,0.16278426049780964
8743,zvaeis,4,0.16278426049780964
4261,quit,6,0.1593488783769143
4259,join,5,0.1327907319807619
8198,netscape,6,0.12552290163705782
3579,comutadores,4,0.12488410824450281
9741,p311-317,1,0.1239380165153778
9739,connections,1,0.1239380165153778
9740,v.355,1,0.1239380165153778
9746,14457,1,0.1239380165153778
9744,edgard,1,0.1239380165153778
9745,blücher,1,0.1239380165153778
9742,blackwel,1,0.1239380165153778
9743,edit,1,0.1239380165153778
8745,complexida,3,0.12208819537335723
8747,histogram,3,0.12208819537335723
2915,zuffo,3,0.11702034206342106
5038,unicelulares,6,0.11602707929099197
7731,tacion,3,0.11004362004504396
5681,moléculas,5,0.10848685795775775
5901,piramidais,5,0.10623258558460955
8847,leguminosae,3,0.10310809777329749
3078,sqrt,4,0.10193033133974996
5369,lobo,4,0.09825716624642564
5340,tálamo,4,0.09825716624642564
3075,add,4,0.09429290017308281
3076,mult,4,0.09429290017308281
3077,div,4,0.09429290017308281
52,amizade,4,0.09375253971363821
22,prof,4,0.09375253971363821
8527,museu,3,0.09260274441526341
5450,pós-sináptica,5,0.09048572002228909
1746,curvatura,9,0.09000485830457504
8796,tabebuia,3,0.089889110879285
8819,boraginaceae,3,0.089889110879285
8807,bombacaceae,3,0.089889110879285
8795,bignoniaceae,3,0.089889110879285
8800,ipê,3,0.089889110879285
4115,imperativas,10,0.08902344587354707
7563,ux,7,0.08784515932349346
3074,cpu,8,0.08779333477515634
3496,stream,9,0.08610790388774868
7641,tacio,5,0.08508566585687548
2976,ula,4,0.08411217573280137
8295,populações,4,0.08411217573280137
4254,fork,3,0.08375333539264437
4241,doall,3,0.08375333539264437
3849,kernel,4,0.08304476233517699
7607,double,4,0.08304476233517699
7602,bytes,9,0.08244022952070554
8748,mplexida,2,0.08139213024890482
3591,multi-estágio,2,0.08098919891103895
3587,crossbar,2,0.08098919891103895
3766,micromáquina,8,0.08073636347630891
7286,mede,3,0.07993396504900586
6120,doutrina,4,0.07980399112209692
4263,"n,h",3,0.07967443918845715
4114,declarativas,4,0.0782766420097123
7234,empacota,3,0.07790389609538033
3338,link,15,0.07735712469501257
5037,optou,4,0.07735138619399465
2819,atlas,9,0.07677712556843608
3770,microinstruções,8,0.07598902750246492
7732,ecurso,3,0.07597438783295604
7574,1d,11,0.07566727059050184
3982,dce,8,0.07553764038549723
5368,sulco,3,0.07369287468481923
4287,call,7,0.07348030159810601
1234,4c,13,0.07295083048439117
7775,regularização,4,0.07238857601783127
5490,polarização,4,0.07238857601783127
4343,calcula,11,0.07101581348199724
7638,2048,8,0.07072864782062452
7637,1024,8,0.07072864782062452
73,pessoal,3,0.07031440478522867
11,martinez,3,0.07031440478522867
10,odemir,3,0.07031440478522867
24,luciano,3,0.07031440478522867
8163,fechner,3,0.0701135064858423
8181,bias,3,0.0701135064858423
4981,alimento,8,0.06932961605633021
6698,fusca,3,0.06912599230998535
1747,contorno,16,0.06881552131982416
8872,psidium,2,0.06873873184886499
3115,cr,2,0.06873873184886499
3112,dor,2,0.06873873184886499
3113,cessa,2,0.06873873184886499
8869,eugenia,2,0.06873873184886499
8843,harms,2,0.06873873184886499
8835,fabaceae,2,0.06873873184886499
8856,melastomaceae,2,0.06873873184886499
8857,tibouchina,2,0.06873873184886499
7778,z,9,0.06856662044463957
3503,fd,5,0.06776145872472876
9582,september,3,0.06771404676730225
7643,rso,9,0.06691415628372928
7444,0.0,14,0.06678340124534685
7836,290,2,0.0664806397223605
8723,incompleto,3,0.06543927272011947
5679,rodopsina,3,0.06509211477465465
5678,bastonete,3,0.06509211477465465
3484,corrente,3,0.06491991341281694
31,391,2,0.0646796533896891
3164,solomon,6,0.064613805327076
8741,cin,4,0.06293025108047139
3521,fin,5,0.0628297858637861
3513,fi1,5,0.0628297858637861
3567,desconectado,2,0.06244205412225141
3569,ortogonal,2,0.06244205412225141
